iteration,estimate,residual,error,rate,phase
1,-14989.2687474874,-4.95624969470664e+24,4530.14548361445,,newton
2,-14855.8399569511,-1.83143562775722e+24,4396.71669307821,0.000214241787660228,newton
3,-14721.2127661766,-6.76807273035728e+23,4262.0895023037,0.000220478172707587,newton
4,-14585.3543941955,-2.50135039181167e+23,4126.23113032261,0.000227147740054029,newton
5,-14448.2305406404,-9.24531164241613e+22,3989.10727676744,0.000234298017125468,newton
6,-14309.8052854249,-3.41749204327845e+22,3850.68202155197,0.000241983762942945,newton
7,-14170.0409797542,-1.26337975694026e+22,3710.9177158813,0.000250268395917132,newton
8,-14028.8981275312,-4.67091925931909e+21,3569.77486365825,0.000259225772838184,newton
9,-13886.3352561054,-1.72708832062329e+21,3427.21199223251,0.000268942423747118,newton
10,-13742.3087751719,-6.38663763835027e+20,3283.18551129899,0.000279520384441102,newton
11,-13596.7728224641,-2.36198677125042e+20,3137.64955859114,0.000291080820781548,newton
12,-13449.6790947013,-8.73639253723184e+19,2990.55583082835,0.00030376871408365,newton
13,-13300.9766620322,-3.23175539209138e+19,2841.85339815932,0.000317758986023718,newton
14,-13150.6117639636,-1.19563551447425e+19,2691.48850009066,0.000333264602550736,newton
15,-12998.5275844671,-4.42400479333931e+18,2539.40432059412,0.000350547437747707,newton
16,-12844.6640036112,-1.6371613337991e+18,2385.54073973824,0.000369933046822645,newton
17,-12688.957322655,-6.05939574886278e+17,2229.83405878203,0.000391831069120319,newton
18,-12531.3399590573,-2.24301488569587e+17,2072.21669518438,0.000416763886214657,newton
19,-12371.7401072829,-8.30430465252567e+16,1912.61684340999,0.000445407616632761,newton
20,-12210.0813606024,-3.07500768606295e+16,1750.95809672951,0.000478651914921845,newton
21,-12046.2822882676,-1.13884539163996e+16,1587.15902439464,0.00051768900006525,newton
22,-11880.2559614607,-4.21854892847674e+15,1421.13269758775,0.000564148900772903,newton
23,-11711.909420234,-1.56295201843576e+15,1252.78615636103,0.000620308428099617,newton
24,-11541.1430722169,-579184985537936,1082.01980834397,0.000689415939280554,newton
25,-11367.8500121201,-214675919366400,908.72674824712,0.00077618078791767,newton
26,-11191.9152489179,-79588355890841.7,732.791985044962,0.000887389094707581,newton
27,-11013.2148249495,-29513602529136.9,554.091561076566,0.00103185842549605,newton
28,-10831.6148078982,-10947333397921.5,372.491544025313,0.00121325851104222,newton
29,-10646.9701325225,-4061771933955.22,187.846868649538,0.00135385178984297,newton
30,-10459.1232638729,-1507482328033.1,0,0,newton
