iteration,x,y,z,f1,f2,f3,delta_norm,residual_norm
1,0.00339805994255879,0.878342043182969,2.11825989687447,0,0.258521282340856,-0.000809475297428475,0.381740103125527,0.258521282340856
2,0.00298538742156855,0.983295275486855,2.01371933709158,0,0.021944079909364,-8.63669039246062e-05,0.104953232303887,0.021944079909364
3,0.00235409629141908,0.9951752372602,2.00247066644838,-4.44089209850063e-16,0.000268064611465668,-1.44010825315899e-05,0.0118799617733451,0.000268064611465668
4,0.00119978652015744,0.99760033156277,2.00119988191707,4.44089209850063e-16,8.82840674965024e-06,-3.59866021404365e-06,0.00242509430256917,8.82840674965024e-06
5,0.000599888250359084,0.998800223292269,2.00059988845737,0,2.15961024974121e-06,-8.99629045481021e-07,0.00119989172949905,2.15961024974121e-06
6,0.000299938157977222,0.999400123662421,2.0002999381796,0,5.39820680600656e-07,-2.24902761858381e-07,0.000599900370151992,5.39820680600656e-07
7,0.000149967582639441,0.999700064832021,2.00014996758534,0,1.34947057084389e-07,-5.62251283309223e-08,0.000299941169600399,1.34947057084389e-07
8,7.49834167586195e-05,0.999850033166145,2.0000749834171,0,3.37357519697434e-08,-1.4056211750102e-08,0.000149968334123955,3.37357519697434e-08
9,3.74916147314172e-05,0.999925016770495,2.00003749161477,0,8.43381098292184e-09,-3.5140441667636e-09,7.49836043497863e-05,8.43381098292184e-09
10,1.87457838967969e-05,0.999962508432201,2.0000187457839,0,2.10843786874193e-09,-8.78509820445572e-10,3.74916617059207e-05,2.10843786874193e-09
11,9.37288733688977e-06,0.999981254225326,2.00000937288734,0,5.27107246739433e-10,-2.1962753837812e-10,1.87457931249879e-05,5.27107246739433e-10
12,4.68643936565051e-06,0.999990627121269,2.00000468643937,0,1.31777255774068e-10,-5.49067458166519e-11,9.37289594280879e-06,1.31777255774068e-10
13,2.34322024942275e-06,0.999995313559502,2.00000234322025,4.44089209850063e-16,3.29452021219367e-11,-1.37267974764654e-11,4.68643823295756e-06,3.29452021219367e-11
14,1.1716017728398e-06,0.999997656796454,2.00000117160177,0,8.23607848587926e-12,-3.43147732451143e-12,2.34323695271795e-06,8.23607848587926e-12
15,5.85826331815209e-07,0.999998828347337,2.00000058582633,0,2.05790939844519e-12,-8.58202398035246e-13,1.17155088231515e-06,2.05790939844519e-12
16,2.92837641171239e-07,0.999999414324717,2.00000029283764,0,5.15143483426073e-13,-2.14384066055118e-13,5.85977380399701e-07,5.15143483426073e-13
17,1.46419256495304e-07,0.999999707161487,2.00000014641926,0,1.28785870856518e-13,-5.36237720893951e-14,2.92836769662726e-07,1.28785870856518e-13
18,7.31723706804757e-08,0.999999853655258,2.00000007317237,0,3.19744231092045e-14,-1.35447209004269e-14,1.46493771674064e-07,3.19744231092045e-14
19,3.61509625050796e-08,0.999999927698074,2.00000003615096,0,8.88178419700125e-15,-3.44169137633799e-15,7.40428160843385e-08,8.88178419700125e-15
20,1.71103002337816e-08,0.999999965779399,2.0000000171103,0,3.5527136788005e-15,-8.88178419700125e-16,3.80813248534584e-08,3.5527136788005e-15
21,6.72850242528242e-09,0.999999986542995,2.0000000067285,0,0,0,2.0763596327541e-08,0
22,6.72850242528242e-09,0.999999986542995,2.0000000067285,0,0,0,0,0
